GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Atividade3,org.example.application,ReservaApplication,0,22,0,2,0,8,0,4,0,3
Atividade3,org.example.application,VooApplication,20,32,3,3,7,10,4,4,1,4
Atividade3,org.example.application,PassageiroApplication,12,48,2,6,4,15,3,7,1,5
Atividade3,org.example.application,AviaoApplication,10,34,1,3,3,11,2,5,1,4
Atividade3,org.example.entities,Voo,14,61,0,2,1,18,1,9,1,8
Atividade3,org.example.entities,Reserva,21,32,2,0,2,11,3,5,2,5
Atividade3,org.example.entities,Aviao,10,35,0,0,1,12,1,6,1,6
Atividade3,org.example.entities,Passageiro,14,137,4,16,3,28,5,13,1,7
Atividade3,org.example,App,471,0,36,0,156,0,34,0,12,0
Atividade3,org.example.repositories,AviaoRepository,22,30,3,1,2,6,4,5,2,5
Atividade3,org.example.repositories,ReservaRepository,35,17,4,0,3,5,6,3,4,3
Atividade3,org.example.repositories,VooRepository,28,24,4,0,2,6,5,4,3,4
Atividade3,org.example.repositories,PassageiroRepository,22,30,3,1,2,6,4,5,2,5
